Category,Product Name
Arabian,Classic Falafel Fino Sandwiches + Peri Peri Fries
Arabian,Garlic Falafel Fino Sandwiches + Peri Peri Fries
Arabian,Tangy Falafel Fino Sandwiches + Peri Peri Fries
Arabian,Garlic Chicken Fino Sandwiches + Peri Peri Fries
Arabian,Grilled Chicken Fino Sandwiches + Peri Peri Fries
Arabian,Cheese & Veggies Manakish + Peri Peri Fries
Arabian,Cheese & Zatar Manakish + Peri Peri Fries
Arabian,Chicken Kebab Manakish + Peri Peri Fries
Arabian,Paneer Tawook Manakish + Peri Peri Fries
Arabian,Grilled Chicken With Hummus & Pita
Arabian,Falafel With Hummus & Pita
Arabian,Grilled Veggies With Hummus & Pita
Arabian,Hummus With Pita
Arabian,Chicken Kafta Kebab
Arabian,Chicken Shish Tawook
Arabian,Paneer Shish Tawook
Arabian,Non-veg Mezze
Arabian,Veg Mezze
Arabian,Jumbo Non-veg Mezze
Arabian,Jumbo Veg Mezze
Arabian,Dips Bundle Platter
Arabian,Classic Falafel Shawarma
Arabian,Peri-peri Falafel Shawarma
Arabian,Harrisa Falafel Shawarma
Arabian,Paneer Shawarmaa
Arabian,Grilled Veggies Shawarma
Arabian,Classic Chicken Shawarma
Arabian,Spicy Chicken Shawarma
Arabian,Peri-peri Chicken Shawarma
Arabian,Loaded Meat Shawarma
Arabian,Butter Chicken Shawarma
Arabian,Mutton Kebab Shawarma
Arabian,Grilled Chicken Salad
Arabian,Fattoush Salad
Arabian,Falafel Salad
Arabian,Grilled Veggies Salad
Arabian,Grilled Chicken Fino
Arabian,Garlic Chicken Fino
Arabian,Sheesh Tawa Fino
Arabian,Garlic Falafel Fino
Arabian,Classic Falafel Fino
Arabian,Tangy Falafel Fino
Arabian,Mutton Kebab Fino
Arabian,Chicken Shawarma Rice Bowl
Arabian,Butter Chicken Rice Bowl
Arabian,Paneer Shawarma Rice Bowl
Arabian,Sheesh Tawa Rice Bowl
Arabian,Falafel Rice Bowl
Arabian,Grilled Veggies Rice Bowl
Arabian,Cheese & Veggies Manakish
Arabian,Cheese& Zatar Manakish
Arabian,Lamb Kebab Manakish
Arabian,Spicy Salami Manakish
Arabian,Chicken Tawook Manakish
Arabian,Chicken Kebab Manakish
Arabian,Paneer Tawook Manakish
Arabian,Chicken Shawarma Fries
Arabian,Peri Peri Fries
Arabian,Mutton Keema Fries
Arabian,Classic Salted Fries
Arabian,Garlic Dip
Arabian,Peri Peri Garlic Dip
Arabian,Classic Cold Coffee
Arabian,Hazelnut Cold Coffee
Arabian,Strawberry Thickshake
Arabian,Blueberry Thickshake
Arabian,Lemon Iced Tea
Arabian,Peach Iced Tea
Arabian,Pita
Arabian,Classsic Hummus (100 Gms)
Arabian,Peri Peri Hummus (100 Gms)
Arabian,Project Hummus (100 Gms)
Arabian,Mini Brownie
Arabian,Choco Lava
Arabian,Walnut Brownie
Asian,Combo for 1 Veg
Asian,Combo for 1 Non-Veg
Asian,Schezwan Paneer Dry
Asian,Hunan Paneer Dry
Asian,Schezwan Chicken Dry
Asian,Hunan Chicken Dry
Asian,Steamed Chicken Darjeeling Momo With Momo Chutney
Asian,Steamed Veg Wheat Momos With Momo Chutney - 12 Pcs
Asian,Hunan Paneer Bowl
Asian,Hunan Chicken Bowl
Asian,Veg - Starter Combo For 2
Asian,Veg - Momo Combo For 2
Asian,Chicken - Momo Combo For 2
Asian,Chicken - Starter Combo For 2
Asian,Combo for 1 Veg
Asian,Combo for 1 Non-Veg
Asian,Chicken Pot Rice
Asian,Veg Manchurian Pot Rice
Asian,Paneer Pot Rice
Asian,Paneer Chilli Dry
Asian,Veg Spring Roll
Asian,Veg Manchurian Dry
Asian,Schezwan Paneer Dry
Asian,Paneer Manchurian Dry
Asian,Black Pepper Paneer Dry
Asian,Sweet Chilli Potato
Asian,Manchurian Ball In Choice Of Sauce
Asian,Kung Pao Paneer Dry
Asian,Hunan Paneer Dry
Asian,Manchurian Potato
Asian,Chilli Chicken Dry
Asian,Manchurian Chicken Dry
Asian,Kung Pao Chicken Dry
Asian,Black Pepper Chicken Dry
Asian,Sweet Chilli Chicken Dry
Asian,Schezwan Chicken Dry
Asian,Hunan Chicken Dry
Asian,Chicken Spring Roll
Asian,Veg Manchow Soup with Crispy Noodles
Asian,Veg Schezwan Noodle Soup
Asian,Chicken Schezwan Noodle Soup
Asian,Chicken Manchow Soup with Crispy Noodles
Asian,Steamed Schezwan Paneer Momo with Momo Chutney
Asian,Steamed Corn & Cheese Momo with Momo Chutney
Asian,Steamed Classic Veg Momos with Momo Chutney
Asian,Steamed Veg Darjeeling Momo With Momo Chutney
Asian,Steamed Chicken Classic Momos with Momo Chutney
Asian,Steamed Chicken Schezwan with Momo Chutney
Asian,Steamed Chicken Darjeeling Momo With Momo Chutney
Asian,Steamed Chicken Corn & Cheese with Momo Chutney
Asian,Fried Paneer Schezwan Momos with Momo Chutney
Asian,Fried Veg Darjeeling Momos With Momo Chutney
Asian,Fried Veg Corn n' Cheese Momos with Momo Chutney
Asian,Fried Classic Veg Momos with Momo Chutney
Asian,Fried Chicken Classic Momos with Momo Chutney
Asian,Fried Chicken Darjeeling Momo With Momo Chutney
Asian,Fried Chicken Schezwan with Momo Chutney
Asian,Fried Chicken Corn & Cheese with Momo Chutney
Asian,Veg Half & Half Momos 6pcs + 6pcs
Asian,Steamed Corn & Cheese Momo with Momo Chutney -12 Pcs
Asian,Steamed Schezwan Paneer Momo with Momo Chutney -12 Pcs
Asian,Steamed Classic Veg Momos with Momo Chutney -12 Pcs
Asian,Steamed Veg Wheat Momos With Momo Chutney - 12 Pcs
Asian,Steamed Veg Darjeeling Momo With Momo Chutney - 12 Pcs
Asian,Steamed Chicken Classic Momos with Momo Chutney -12 Pcs
Asian,Steamed Chicken Wheat Momos With Momo Chutney -12Pcs
Asian,Chicken Half & Half Momos 6pcs + 6pcs
Asian,Steamed Chicken Darjeeling Momo With Momo Chutney - 12Pcs
Asian,Steamed Chicken Schezwan with Momo Chutney -12 Pcs
Asian,Steamed Chicken Corn & Cheese with Momo Chutney -12 Pcs
Asian,Fried Veg Wheat Momos with Momo Chutney - 12 Pcs
Asian,Fried Classic Veg Momos with Momo Chutney - 12 Pcs
Asian,Fried Veg Darjeeling Momos With Momo Chutney - 12 Pcs
Asian,Fried Paneer Schezwan Momos with Momo Chutney - 12 Pcs
Asian,Fried Veg Corn n' Cheese Momos with Momo Chutney  - 12 Pcs
Asian,Fried Chicken Wheat Momos with Momo Chutney - 12 Pcs
Asian,Fried Chicken Classic Momos with Momo Chutney - 12 Pcs
Asian,Fried Chicken Darjeeling Momos With Momo Chutney - 12 Pcs
Asian,Fried Chicken Schezwan with Momo Chutney - 12 Pcs
Asian,Fried Chicken Corn & Cheese with Momo Chutney - 12 Pcs
Asian,Veg Manchurian Bowl
Asian,Chilli Paneer Bowl
Asian,Kung Pao Paneer Bowl
Asian,Schezwan Paneer Bowl
Asian,Black Pepper Paneer Bowl
Asian,Hunan Paneer Bowl
Asian,Kung Pao Chicken Bowl
Asian,Chilli Chicken Bowl
Asian,Chicken Manchurian Bowl
Asian,Hunan Chicken Bowl
Asian,Black Pepper Chicken Bowl
Asian,Schezwan Chicken Bowl
Asian,Veg Fried Rice - Full (1000 ml)
Asian,Veg Schezwan Fried Rice - Full (1000 ml)
Asian,Veg Triple Schezwan Rice
Asian,Veg Chilli Garlic Fried Rice - Full (1000 ml)
Asian,Veg Burnt Garlic Fried Rice - Full (1000 ml)
Asian,Veg Hakka Noodles - Full (1000 ml)
Asian,Veg Chilli Garlic Noodles - Full (1000 ml)
Asian,Veg Burnt Garlic Noodles - Full (1000 ml)
Asian,Veg Schezwan Noodles - Full (1000 ml)
Asian,Chicken Fried Rice - Full (1000 ml)
